route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
28,000081,88____:049::8833001:8822004:9:1804:20210328,Malines,13137,,6401,,1
95,000155,88____:049::8814001:8814209:12:1713:20210411,Nivelles,13137,,6402,,1
28,000081,88____:049::8833001:8822004:9:1904:20210328,Malines,13138,,6403,,1
95,000155,88____:049::8814001:8814209:12:1813:20210411,Nivelles,13138,,6404,,1
28,000081,88____:049::8833001:8822004:9:2004:20210328,Malines,13139,,6405,,1
95,000155,88____:049::8814001:8814209:12:1913:20210411,Nivelles,13139,,6406,,1
28,000081,88____:049::8833001:8822004:9:2104:20210328,Malines,13140,,6407,,1
95,000155,88____:049::8814001:8814209:12:2013:20210411,Nivelles,13140,,6408,,1
28,000081,88____:049::8833001:8822004:9:2204:20210328,Malines,13141,,6409,,1
95,000155,88____:049::8814001:8814209:12:2113:20210411,Nivelles,13141,,6410,,1
28,000081,88____:049::8833001:8822004:9:2304:20210328,Malines,13142,,6411,,1
95,000155,88____:049::8814001:8814209:12:2213:20210411,Nivelles,13142,,6412,,1
28,000081,88____:049::8833001:8822004:9:2404:20210328,Malines,13143,,6413,,1
95,000155,88____:049::8814001:8814209:12:2313:20210411,Nivelles,13143,,6414,,1
95,000155,88____:049::8814001:8814209:12:2413:20210411,Nivelles,13144,,6415,,1
54,000027,88____:049::8864501:8864006:7:923:20210405,Rochefort-Jemelle,13158,,6416,,1
54,000027,88____:049::8864501:8864006:7:1123:20210405,Rochefort-Jemelle,13160,,6417,,1
54,000027,88____:049::8864501:8864006:7:1323:20210405,Rochefort-Jemelle,13162,,6418,,1
54,000027,88____:049::8864501:8864006:7:1523:20210405,Rochefort-Jemelle,13164,,6419,,1
54,000027,88____:049::8864501:8864006:7:1723:20210405,Rochefort-Jemelle,13166,,6420,,1
54,000027,88____:049::8864501:8864006:7:1923:20210405,Rochefort-Jemelle,13168,,6421,,1
54,000027,88____:049::8864501:8864006:7:2123:20210405,Rochefort-Jemelle,13170,,6422,,1
54,000027,88____:049::8864501:8864006:7:2323:20210405,Rochefort-Jemelle,13172,,6423,,1
54,000027,88____:049::8864006:8864501:7:748:20210405,Ciney,13177,,6424,,1
54,000027,88____:049::8864006:8864501:7:948:20210405,Ciney,13179,,6425,,1
54,000027,88____:049::8864006:8864501:7:1148:20210405,Ciney,13181,,6426,,1
54,000027,88____:049::8864006:8864501:7:1348:20210405,Ciney,13183,,6427,,1
54,000027,88____:049::8864006:8864501:7:1548:20210405,Ciney,13185,,6428,,1
54,000027,88____:049::8864006:8864501:7:1748:20210405,Ciney,13187,,6429,,1
54,000027,88____:049::8864006:8864501:7:1948:20210405,Ciney,13189,,6430,,1
54,000027,88____:049::8864006:8864501:7:2148:20210405,Ciney,13191,,6431,,1
75,000181,88____:049::8863008:8863545:5:808:20210417,Yvoir,13207,,6432,,1
75,000181,88____:049::8863008:8863545:5:1008:20210417,Yvoir,13209,,6433,,1
75,000181,88____:049::8863008:8863545:5:1208:20210417,Yvoir,13211,,6434,,1
75,000181,88____:049::8863008:8863545:5:1408:20210417,Yvoir,13213,,6435,,1
75,000181,88____:049::8863008:8863545:5:1608:20210417,Yvoir,13215,,6436,,1
75,000181,88____:049::8863008:8863545:5:1808:20210417,Yvoir,13217,,6437,,1
75,000181,88____:049::8863008:8863545:5:2008:20210417,Yvoir,13219,,6438,,1
75,000181,88____:049::8863545:8863008:5:732:20210417,Namur,13227,,6439,,1
75,000181,88____:049::8863545:8863008:5:932:20210417,Namur,13229,,6440,,1
75,000181,88____:049::8863545:8863008:5:1132:20210417,Namur,13231,,6441,,1
75,000181,88____:049::8863545:8863008:5:1332:20210417,Namur,13233,,6442,,1
75,000181,88____:049::8863545:8863008:5:1532:20210417,Namur,13235,,6443,,1
75,000181,88____:049::8863545:8863008:5:1732:20210417,Namur,13237,,6444,,1
75,000181,88____:049::8863545:8863008:5:1932:20210417,Namur,13239,,6445,,1
100,000161,88____:049::8896800:8896008:4:800:20210328,Courtrai,13306,,6446,,1
100,000161,88____:049::8896800:8896008:4:835:20210328,Courtrai,13307,,6447,,1
100,000161,88____:049::8896800:8896008:4:935:20210328,Courtrai,13308,,6448,,1
100,000161,88____:049::8896800:8896008:4:1035:20210328,Courtrai,13309,,6449,,1
100,000161,88____:049::8896800:8896008:4:1135:20210328,Courtrai,13310,,6450,,1
100,000161,88____:049::8896800:8896008:4:1235:20210328,Courtrai,13311,,6451,,1
