stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
8892403,,KORTEMARK,,51.02525,3.043456,,,0,S8892403,,Belgium
8892452,,DIXMUDE,,51.03272,2.868947,,,0,S8892452,,Belgium
8892601,,AUDENARDE,,50.850120000000004,3.600388,,,0,S8892601,,Belgium
8892627,,EINE,,50.87043,3.623777,,,0,S8892627,,Belgium
8892635,,ZINGEM,,50.90803,3.646381,,,0,S8892635,,Belgium
8892643,,GAVERE-ASPER,,50.93002,3.639728,,,0,S8892643,,Belgium
8892650,,EKE-NAZARETH,,50.960770000000004,3.627836,,,0,S8892650,,Belgium
8892692,,SINT-DENIJS-BOEKEL,,50.8743,3.6984,,,0,S8892692,,Belgium
8892734,,ANZEGEM,,50.82639,3.495013,,,0,S8892734,,Belgium
8892908,,RENAIX,,50.742509999999996,3.60255,,,0,S8892908,,Belgium
8893013,,MERELBEKE,,51.01753,3.76889,,,0,S8893013,,Belgium
8893039,,MELLE,,51.00281,3.79709,,,0,S8893039,,Belgium
8893047,,GONTRODE,,50.9802,3.801671,,,0,S8893047,,Belgium
8893054,,LANDSKOUTER,,50.97055,3.791148,,,0,S8893054,,Belgium
8893062,,MOORTSELE,,50.953520000000005,3.78134,,,0,S8893062,,Belgium
8893070,,SCHELDEWINDEKE,,50.93707,3.777844,,,0,S8893070,,Belgium
8893120,,GAND-DAMPOORT,,51.05637,3.74059,,,0,S8893120,,Belgium
8893179,,GENTBRUGGE,,51.03864,3.756326,,,0,S8893179,,Belgium
8893211,,WONDELGEM,,51.088359999999994,3.719075,,,0,S8893211,,Belgium
8893252,,EVERGEM,,51.10758,3.701381,,,0,S8893252,,Belgium
8893260,,SLEIDINGE,,51.1266,3.667527,,,0,S8893260,,Belgium
8893401,,TERMONDE,,51.02278,4.10143,,,0,S8893401,,Belgium
8893443,,SINT-GILLIS,,51.0217,4.117831,,,0,S8893443,,Belgium
8893518,,OUDEGEM,,51.015229999999995,4.064472,,,0,S8893518,,Belgium
8893526,,SCHOONAARDE,,51.00315,4.011095,,,0,S8893526,,Belgium
8893534,,WICHELEN,,51.00196,3.969195,,,0,S8893534,,Belgium
8893542,,SCHELLEBELLE,,51.00315,3.92137,,,0,S8893542,,Belgium
8893559,,WETTEREN,,51.0016,3.88188,,,0,S8893559,,Belgium
8893567,,KWATRECHT,,50.99175,3.829591,,,0,S8893567,,Belgium
8893583,,SERSKAMP,,50.9844,3.95936,,,0,S8893583,,Belgium
8893708,,EEKLO,,51.181329999999996,3.574518,,,0,S8893708,,Belgium
8893815,,WAARSCHOOT,,51.15461,3.61535,,,0,S8893815,,Belgium
8894151,,BEERVELDE,,51.08753,3.879383,,,0,S8894151,,Belgium
8894201,,LOKEREN,,51.108059999999995,3.987794,,,0,S8894201,,Belgium
8894235,,ZELE,,51.07325,4.042001,,,0,S8894235,,Belgium
8894425,,SINAAI,,51.1434,4.06894,,,0,S8894425,,Belgium
8894433,,BELSELE,,51.15099,4.08861,,,0,S8894433,,Belgium
8894508,,SAINT-NICOLAS,,51.17147,4.142963,,,0,S8894508,,Belgium
8894672,,TAMISE,,51.12608,4.221349,,,0,S8894672,,Belgium
8894714,,NIEUWKERKEN-WAAS,,51.18561,4.185904,,,0,S8894714,,Belgium
8894748,,BEVEREN,,51.20834,4.259525,,,0,S8894748,,Belgium
8894755,,MELSELE,,51.21071,4.286767,,,0,S8894755,,Belgium
8894821,,ZWIJNDRECHT,,51.21411,4.329776,,,0,S8894821,,Belgium
8895000,,ALOST,,50.942820000000005,4.039649,,,0,S8895000,,Belgium
8895067,,LEDE,,50.9709,3.98498,,,0,S8895067,,Belgium
8895091,,EREMBODEGEM,,50.91962,4.055451,,,0,S8895091,,Belgium
8895125,,ALOST KERREBROEK,,50.94838,4.024412,,,0,S8895125,,Belgium
8895208,,ZOTTEGEM,,50.8691,3.81441,,,0,S8895208,,Belgium
8895232,,MUNKZWALM,,50.875679999999996,3.733242,,,0,S8895232,,Belgium
8895240,,BALEGEM-ZUID,,50.90051,3.80587,,,0,S8895240,,Belgium
8895257,,BALEGEM-DORP,,50.91961,3.791423,,,0,S8895257,,Belgium
8895422,,HILLEGEM,,50.8913,3.85747,,,0,S8895422,,Belgium
8895430,,HERZELE,,50.897220000000004,3.880616,,,0,S8895430,,Belgium
8895448,,TERHAGEN,,50.90165,3.896657,,,0,S8895448,,Belgium
8895455,,BURST,,50.90719,3.922418,,,0,S8895455,,Belgium
8895463,,BAMBRUGGE,,50.91377,3.935715,,,0,S8895463,,Belgium
8895471,,ERPE-MERE,,50.9286,3.96246,,,0,S8895471,,Belgium
