stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,country
stoparea:17970,mp,MEPPEL,52.6918939124,6.197606027130001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17971,gv,DEN HAAG HS,52.07013222729999,4.3222028017000005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17972,bsmz,BUSSUM ZUID,52.265496548,5.16300290823,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17973,mz,MAARHEEZE,51.3038965117,5.6306219100999995,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17974,rai,AMSTERDAM RAI,52.336961586899996,4.8903134465199996,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17975,gbg,GRAMSBERGEN,52.6102796771,6.67618989944,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17976,est,ELST,51.9172503083,5.8549618721000005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17977,vsv,VARSSEVELD,51.9373234191,6.45880758762,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17978,vst,VOORSCHOTEN,52.1262416276,4.43370893598,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17980,gbr,GLANERBRUG,52.218706588900005,6.973620057110001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17982,ese,ENSCHEDE DE ESCHMARKE,52.2212782051,6.951212882999999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17983,arn,ARNEMUIDEN,51.501444953000004,3.66984665394,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17985,duisb,DUISBURG HBF,51.430006,6.7747399999999995,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17986,fn,FRANEKER,53.1824911512,5.54953336716,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17987,fnaf,FRANKFURT FLUGHAFEN FERNB,50.053196,8.570139999999999,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17988,hno,HEINO,52.4268589853,6.22245937586,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17989,emn,EMMEN,52.7906369563,6.899371147160001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17990,eml,ERMELO,52.3011672153,5.614469647409999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17991,rat,RAALTE,52.3910408266,6.27850413322,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17992,emnz,EMMEN ZUID,52.74882091479999,6.87420129776,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17993,hann,HANNOVER HBF,52.376726,9.74095,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17994,kswe,SCHWELM,51.290649,7.2907,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17996,zd,ZAANDAM,52.4384469017,4.813830256459999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17997,mannhe,MANNHEIM HBF,49.479633,8.46986,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17999,zb,ZUIDBROEK,53.1595511676,6.867983937259999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18000,zl,ZWOLLE,52.50556115569999,6.09058320522,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18002,zh,ZUIDHORN,53.248136977799994,6.40636503696,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18003,zv,ZEVENAAR,51.9230369693,6.073105931280001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18004,zp,ZUTPHEN,52.144563669700005,6.19427740574,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18005,ust,USQUERT,53.4010715416,6.60928755999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18006,lls,LELYSTAD CENTRUM,52.5080149133,5.47285705805,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18007,o,OSS,51.7651308763,5.53030729294,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18008,pmo,PURMEREND OVERWHERE,52.5113075984,4.96743634343,1,,Europe/Amsterdam,0.0,,,Netherlands
