route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
30985.000011.107:30985,000011,RE,RE 30985,,2,,,
30985.000011.108:11,000011,S11,S 11,,2,,FFEA00,000000
30986.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30986.000011.102:30986,000011,RE,RE 30986,,2,,,
30986.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30986.000011.104:30986,000011,RE,RE 30986,,2,,,
30987.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30987.000011.102:30987,000011,RE,RE 30987,,2,,,
30987.000011.103:30987,000011,RE,RE 30987,,2,,,
30987.000011.104:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30988.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30988.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30988.000011.103:30988,000011,RE,RE 30988,,2,,,
30988.000011.104:30988,000011,RE,RE 30988,,2,,,
30988.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30989.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30989.000011.102:36,000011,IR36,IR 36,,2,,FF8080,
30989.000011.103:36,000011,IR36,IR 36,,2,,FF8080,
30989.000011.104:30989,000011,RE,RE 30989,,2,,,
30989.000011.105:5,000011,S5,S 5,,2,,FFEA00,000000
30989.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30989.000011.107:11,000011,S11,S 11,,2,,FFEA00,000000
30989.000011.108:30989,000011,IR,IR 30989,,2,,FF8080,
30990.000011.101:36,000011,IR36,IR 36,,2,,FF8080,
30990.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30990.000011.103:36,000011,IR36,IR 36,,2,,FF8080,
30990.000011.104:30990,000011,RE,RE 30990,,2,,,
30990.000011.105:5,000011,S5,S 5,,2,,FFEA00,000000
30990.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30991.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30991.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30991.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30991.000011.104:30991,000011,RE,RE 30991,,2,,,
30991.000011.105:29,000011,S29,S 29,,2,,FFEA00,000000
30991.000011.106:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30991.000011.107:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30992.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30992.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30992.000011.103:36,000011,IR36,IR 36,,2,,FF8080,
30992.000011.104:30992,000011,RE,RE 30992,,2,,,
30992.000011.105:29,000011,S29,S 29,,2,,FFEA00,000000
30992.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30992.000011.107:9,000011,S9,S 9,,2,,FFEA00,000000
30992.000011.108:36,000011,IR36,IR 36,,2,,FF8080,
30992.000011.109:29,000011,S29,S 29,,2,,FFEA00,000000
30992.000011.110:11,000011,S11,S 11,,2,,FFEA00,000000
30992.000011.111:9,000011,S9,S 9,,2,,FFEA00,000000
30992.000011.112:29,000011,S29,S 29,,2,,FFEA00,000000
30993.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30993.000011.102:13,000011,IR13,IR 13,,2,,FF8080,
30993.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30993.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30993.000011.105:36,000011,IR36,IR 36,,2,,FF8080,
30993.000011.106:30993,000011,RE,RE 30993,,2,,,
30993.000011.107:13,000011,IR13,IR 13,,2,,FF8080,
30993.000011.108:13,000011,IR13,IR 13,,2,,FF8080,
30993.000011.109:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30994.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30994.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30994.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30995.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30995.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30995.000011.103:36,000011,IR36,IR 36,,2,,FF8080,
30995.000011.104:29,000011,S29,S 29,,2,,FFEA00,000000
30995.000011.105:36,000011,IR36,IR 36,,2,,FF8080,
30995.000011.106:29,000011,S29,S 29,,2,,FFEA00,000000
30995.000011.107:29,000011,S29,S 29,,2,,FFEA00,000000
30995.000011.108:36,000011,IR36,IR 36,,2,,FF8080,
30995.000011.109:36,000011,IR36,IR 36,,2,,FF8080,
30995.000011.110:36,000011,IR36,IR 36,,2,,FF8080,
30995.000011.111:36,000011,IR36,IR 36,,2,,FF8080,
30997.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30997.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30997.000011.103:90,000011,IR90,IR 90,,2,,FF8080,
30998.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30998.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30999.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
31003.000011.101:31003,000011,S,S 31003,,2,,FFEA00,000000
31008.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31008.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31010.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31010.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31011.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31012.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31012.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31014.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31014.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31015.000011.101:31015,000011,S,S 31015,,2,,FFEA00,000000
31016.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31016.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31018.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31018.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31020.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31020.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31022.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31022.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31024.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31024.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31026.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31026.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31028.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31028.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31030.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31030.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31032.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31032.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31034.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31034.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31036.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31038.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31038.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31038.000011.103:L5,000011,S,L5,,2,,FFEA00,000000
31040.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31040.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31042.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31042.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31044.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31044.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31046.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31046.000011.102:L5,000011,S,L5,,2,,FFEA00,000000
31047.000011.101:15,000011,S15,S 15,,2,,FFEA00,000000
31048.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
31050.000011.101:L5,000011,S,L5,,2,,FFEA00,000000
