route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
75507,KEOLIS,5,Station Ede-W. - Kernhem - De Klomp,,3,,,
75499,KEOLIS,3,"Deventer, Station - Platvoet",,3,,,
75486,KEOLIS,86,Wageningen - Bennekom - Ede,,3,,,
75498,KEOLIS,2,"Deventer, Station - Platvoet",,3,,,
75501,KEOLIS,5,Deventer Station - De Vijfhoek,,3,,,
75491,KEOLIS,107,Ede - Wekerom - Stroe - Garderen - Putten,,3,,,
75515,TWENTS,64,Overdinkel - Almelo,,3,,,
75502,KEOLIS,6,Deventer Station - Colmschate Zuid,,3,,,
75513,TWENTS,61,Overdinkel - Enschede,,3,,,
62664,ARR,6231,"Bontebok - Heerenveen, Busstation",,3,,,
75473,KEOLIS,4,"Zwolle, Station - Aa-Landen",,3,,,
75506,KEOLIS,2,Station Ede-W. - Veldhuizen - Ziekenhuis (l.o.),,3,,,
75497,KEOLIS,1,Deventer Station - De Vijfhoek via Blauwenoord,,3,,,
75485,KEOLIS,85,Veenendaal - Frankeneng - Ede,,3,,,
75509,TWENTS,51,Almelo - Hengelo,,3,,,
75505,KEOLIS,1,Station Ede-W. - Ziekenhuis - Veldhuizen (r.o.),,3,,,
75490,KEOLIS,105,Barneveld - Otterlo - Arnhem,,3,,,
75518,TWENTS,81,Ommen - Almelo,,3,,,
75483,KEOLIS,43,Apeldoorn - Beekbergen - Eerbeek - Dieren - Arnhem,,3,,,
75510,TWENTS,53,Hengelo - Eibergen,,3,,,
75500,KEOLIS,4,"Deventer, Station - Schalkhaar",,3,,,
75475,KEOLIS,6,"Zwolle, Station - Ittersumerbroek",,3,,,
75479,KEOLIS,11,"Zwolle, Station - Breecamp Oost",,3,,,
75489,KEOLIS,C3,Wageningen - Ede,,3,,,
75482,KEOLIS,1,"Harderwijk, Station - Frankrijk",,3,,,
75504,KEOLIS,8,"Deventer, Station - Bedrijvenpark A1",,3,,,
75487,KEOLIS,89,"Veenendaal, de Klomp - Wageningen, UT Campus/Forum",,3,,,
75493,KEOLIS,160,Deventer - Bathmen,,3,,,
75503,KEOLIS,7,"Deventer, Station - Hanzepark",,3,,,
75484,KEOLIS,83,Veenendaal - De Klomp,,3,,,
75522,TWENTS,97,Holten - Haaksbergen,,3,,,
75516,TWENTS,66,Neede - Oldenzaal,,3,,,
75520,TWENTS,95,Almelo - Borculo,,3,,,
75521,TWENTS,96,Rijssen - Nijverdal,,3,,,
75511,TWENTS,59,Tubbergen - Haaksbergen,,3,,,
75517,TWENTS,80,Hardenberg - Westerhaar,,3,,,
75519,TWENTS,83,Vriezenveen - Almelo,,3,,,
75512,TWENTS,60,Enschede - Oldenzaal,,3,,,
67615,IFF:NOORD,Stoptrein,Arnhem Centraal <-> Terborg ST36900,,2,,,
75579,SYNTUS:UT,121,Mijdrecht - Hilversum,,3,,,
75593,SYNTUS:UT,295,Utrecht - Rotterdam metrostation Capelsebrug,,3,,,
75567,SYNTUS:UT,70,Hilversum - Amersfoort,,3,,,
75577,SYNTUS:UT,107,Utrecht - Gouda,,3,,,
75546,TWENTS,2,"Enschede, Helmerhoek - Deppenbroek",,3,,,
75545,TWENTS,1,"Enschede, Wesselerbrink - UT",,3,,,
75558,TWENTS,13,"Hengelo, Station - Hasseler Es",,3,,,
75565,SYNTUS:UT,50,U-link Utrecht - Wageningen / Veenendaal,,3,,,
75575,SYNTUS:UT,102,Utrecht - Woerden,,3,,,
75578,SYNTUS:UT,120,Utrecht - Amsterdam station Bijlmer ArenA,,3,,,
75548,TWENTS,4,"Enschede, Stroinkslanden - Station",,3,,,
75562,TWENTS,24,"Almelo, Station - Schelfhorst",,3,,,
75550,TWENTS,6,"Enschede, Station - Stokhorst",,3,,,
75581,SYNTUS:UT,126,Mijdrecht - Amsterdam station Bijlmer ArenA,,3,,,
75547,TWENTS,3,Enschede - Glanerbrug,,3,,,
75557,TWENTS,12,"Hengelo, Gezondheidspark - Groot Driene",,3,,,
75582,SYNTUS:UT,130,Breukelen - Mijdrecht - Uithoorn,,3,,,
75549,TWENTS,5,"Enschede, 't Zwering - Station",,3,,,
75570,SYNTUS:UT,80,Amersfoort - Veenendaal-De Klomp,,3,,,
75553,TWENTS,9,Hengelo - Enschede,,3,,,
75560,TWENTS,22,"Almelo, Station - Windmolenbroek",,3,,,
75569,SYNTUS:UT,76,Amersfoort - Bunschoten-Spakenburg,,3,,,
75556,TWENTS,11,"Hengelo, Station - Hasseler Es",,3,,,
75583,SYNTUS:UT,195,Schoonhoven - IJsselstein (-Utrecht) via Benschop,,3,,,
75592,SYNTUS:UT,280,Veenendaal - Amersfoort (sneldienst),,3,,,
75576,SYNTUS:UT,106,Nieuwegein - Gouda,,3,,,
75564,SYNTUS:UT,5,VE: Ede - Kernhem - De Klomp,,3,,,
75572,SYNTUS:UT,83,Veenendaal - De Klomp,,3,,,
75586,SYNTUS:UT,203,Amersfoort Vathorst - Utrecht Rijnsweerd Noord,,3,,,
75571,SYNTUS:UT,82,Amersfoort - Doorn,,3,,,
75574,SYNTUS:UT,87,Veenendaal-De Klomp - Petenbos via Veenendaal-Oost,,3,,,
75568,SYNTUS:UT,74,Soestdijk Noord - Soest Zuid,,3,,,
75573,SYNTUS:UT,85,VE: Veenendaal - Frankeneng - Ede,,3,,,
75595,SYNTUS:UT,299,Leusden - Utrecht Rijnsweerd Noord,,3,,,
75590,SYNTUS:UT,217,Amersfoort - Leusden De Horst (sneldienst),,3,,,
75561,TWENTS,23,"Almelo, Station - Schelfhorst",,3,,,
75559,TWENTS,21,"Almelo, Station - Windmolenbroek",,3,,,
75563,TWENTS,26,"Almelo, Station - Ziekenhuis",,3,,,
75555,TWENTS,10,"Hengelo, Station - Veldwijk",,3,,,
75552,TWENTS,8,Hengelo - Enschede - Hengelo,,3,,,
75551,TWENTS,7,"Enschede, Station - Marssteden",,3,,,
75929,CXX,711,Oud-Beijerland-Zuid-Beijerland,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=Z711
75930,CXX,860,Nachtbus,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=Z860
75626,SYNTUS:UT,A,SyntusFlex Woerden A,,3,,,
75627,SYNTUS:UT,B,SyntusFlex Woerden B,,3,,,
75628,SYNTUS:UT,M,SyntusFlex De Ronde Venen,,3,,,
75656,KEOLIS,507,Twello - Wilp - Voorst Empe (ReserveerRRReis),,3,,,
75657,KEOLIS,508,Twello - Thermen (ReserveerRRReis),,3,,,
75659,KEOLIS,12,"Apeldoorn, Station - Apenheul (ReserveerRRReis)",,3,,,
75660,KEOLIS,13,"Apeldoorn, Station - Kerschoten (ReserveerRRReis)",,3,,,
75661,KEOLIS,14,"Apeldoorn, Station - Kerschoten (ReserveerRRReis)",,3,,,
75662,KEOLIS,15,"Apeldoorn, Station - Twello (ReserveerRRReis)",,3,,,
75663,KEOLIS,16,"Apeldoorn, Station - Woudhuis (ReserveerRRReis)",,3,,,
75664,KEOLIS,17,Apeldoorn JFC - Stadhoudersmolen (ReserveerRRR),,3,,,
75665,KEOLIS,6,Servicebus Ede (ReserveerRRReis),,3,,,
75666,KEOLIS,1,Harderwijk (ReserveerRRReis),,3,,,
75611,SYNTUS:UT,2,Station - Nieuwland (Amersfoort),,3,,,
75620,SYNTUS:UT,17,Amersfoort - Leusden,,3,,,
75629,ALLGO,322,Lijn 322 Parkwijk - Amstel,,3,,,
75630,ALLGO,323,Lijn 323 Parkwijk - Bijlmer,,3,,,
75614,SYNTUS:UT,5,Station - Schothorst - Vathorst (Amersfoort),,3,,,
75612,SYNTUS:UT,3,Station - Vathorst (Amersfoort),,3,,,
75618,SYNTUS:UT,9,Station - Leusderkwartier (2020),,3,,,
75616,SYNTUS:UT,7,Station - Vathorst (Amersfoort) - 2018,,3,,,
75617,SYNTUS:UT,8,Station - Schuilenburg (2020),,3,,,
75613,SYNTUS:UT,4,Station - Kattenbroek (Amersfoort),,3,,,
75615,SYNTUS:UT,6,Station - Liendert - Rustenburg (Amersfoort),,3,,,
75621,SYNTUS:UT,19,Station - Rusthof (2020),,3,,,
75623,SYNTUS:UT,4,Woerden Station - Molenvliet via Schilderskwartier,,3,,,
75622,SYNTUS:UT,3,Woerden Station - Molenvliet via Middelland,,3,,,
75610,SYNTUS:UT,1,Soesterkwartier - Station (Amersfoort) - 2018,,3,,,
75600,SYNTUS:UT,522,Weesp - Vreeland,,3,,,
75598,SYNTUS:UT,504,IJsselstein - Montfoort,,3,,,
75601,SYNTUS:UT,524,Woerden - Breukelen,,3,,,
75599,SYNTUS:UT,505,IJsselstein - Woerden,,3,,,
75603,SYNTUS:UT,573,Soest - Blaricum Tergooi Ziekenhuis,,3,,,
75604,SYNTUS:UT,575,Soest Raadhuisplein - Driebergen-Rijsenburg,,3,,,
75602,SYNTUS:UT,572,Amersfoort Vathorst - Soest,,3,,,
75597,SYNTUS:UT,503,Eemdijk - Nijkerk,,3,,,
75931,CXX,867,Rotterdam CS - Numansdorp,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=Z867
316,WATERBUS,21,Dordrecht Hooikade - Zwijndrecht Veerplein,,4,659ad2,000000,
41836,HTM,24,Lijn 24: Kijkduin - Station Mariahoeve,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-24
41838,HTM,21,Lijn 21: Vrederust - Scheveningen Noorderstrand,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-21
62752,ARR,7144,"Wanswert - Ferwert, Prov. weg",,3,,,
62753,ARR,7151,"Burdaard - Dokkum, Busstation",,3,,,
62754,ARR,9121,"Kubaard, Tsjerkebuorren - Wommels, De Terp",,3,,,
62755,ARR,9111,"Iens - Wommels, De Terp",,3,,,
62764,ARR,9042,"Blauwhuis - Bolsward, Busstation",,3,,,
62766,ARR,8382,"Jirnsum, Douwemastrjitte - Akkrum, Station",,3,,,
468,GVB,54,Gein - Centraal Station,,1,fff200,000000,http://www.gvb.nl/lijn/metro/54
54566,ARR,3,Wolder via Centrum - Nazareth,,3,00a650,ffffff,
61983,ARR,5,Daalhof via MUMC - Heugem,,3,2e3192,ffffff,
54551,ARR,6,Daalhof via De Geusselt - Amby,,3,00adef,ffffff,
61982,ARR,7,MUMC/MECC via Sibemaweg  - Caberg/Pottenberg,,3,1d6434,ffffff,
62838,ARR,8051,"Dongjum, Tzummarumerweg - Franeker, Voorstraat",,3,,,
62839,ARR,8021,"Baijum - Dronryp, Hoek Dronryp",,3,,,
62840,ARR,8022,"Baijum - Dronryp, Station",,3,,,
62841,ARR,8011,"Hilaard - Dronryp, Hoek Dronryp",,3,,,
62842,ARR,8012,"Hilaard - Deinum, Station",,3,,,
62846,ARR,8031,"Schalsum - Franeker, Voorstraat",,3,,,
62847,ARR,8771,"Sint Nicolaasga - Joure, Busstation",,3,,,
62848,ARR,8761,"Scharsterbrug - Joure, Busstation",,3,,,
62849,ARR,8821,"Ysbrechtum - Sneek, Busstation",,3,,,
62850,ARR,8811,"Tirns - Sneek, Busstation",,3,,,
62851,ARR,8832,"Hidaard - Wommels, De Terp",,3,,,
62855,ARR,8852,"Itens, Hervormde Kerk - Wommels, De Terp",,3,,,
62860,ARR,7091,"Raard - Dokkum, Busstation",,3,,,
62081,HTM,20,Lijn 20: Centraal Station - Duinzigt,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-20
62082,HTM,22,Lijn 22: Duindorp - Rijswijk De Schilp,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-22
62910,ARR,6331,"De Hoeve - Wolvega, Station",,3,,,
62911,ARR,7611,"Kollum, De Colle - Buitenpost, Station",,3,,,
62912,ARR,7601,"Oudwoude - Buitenpost, Station",,3,,,
62913,ARR,7571,Veenklooster - Buitenpost,,3,,,
62914,ARR,7561,"Augsbuurt, Lutjewoude - Buitenpost, Station",,3,,,
62915,ARR,7591,"Triemen - Buitenpost, Station",,3,,,
62917,ARR,7542,"Munnekezijl, Kerkstraat - Buitenpost, Station",,3,,,
62918,ARR,7541,"Munnekezijl, Kerkstraat - Grijpskerk, Station",,3,,,
62919,ARR,7552,"Burum, Waardshiem - Buitenpost, Station",,3,,,
62920,ARR,7551,"Burum, Waardshiem - Grijpskerk, Station",,3,,,
62921,ARR,6072,"Eastermar - Drachten, Transferium Oost",,3,,,
62922,ARR,6032,"Jistrum - Buitenpost, Station",,3,,,
